cwe,file,kind,sloc,saAll,insideAll,saFilter,insideFilter,rtc,ftCrashes,aflrtc_pass,aflrtc_fail,aflrtc_crash
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_11.c,good,163,17,true,4,true,PASSED,0,23157,0,0
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_04.c,bad,165,17,true,4,true,FAILED,1,13309,11688,63
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_04.c,good,165,17,true,4,true,PASSED,0,21586,0,0
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_07.c,bad,164,17,true,4,true,FAILED,1,14758,11037,37
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_07.c,good,164,17,true,4,true,PASSED,0,23677,0,0
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_45.c,bad,112,11,true,3,true,FAILED,2,13446,11885,36
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_45.c,good,112,11,true,3,true,FAILED,0,0,25498,48
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_12.c,bad,149,16,true,4,true,FAILED,3,11017,15588,52
CWE134,CWE134_Uncontrolled_Format_String__char_file_fprintf_12.c,good,149,16,true,4,true,PASSED,0,20358,0,0
CWE369,CWE369_Divide_by_Zero__float_fgets_01.c,bad,84,3,true,1,false,FAILED,0,873,50,0
CWE369,CWE369_Divide_by_Zero__float_fgets_01.c,good,84,3,true,1,false,PASSED,0,730,40,0
CWE369,CWE369_Divide_by_Zero__float_fgets_18.c,bad,96,3,true,1,false,FAILED,0,798,51,0
CWE369,CWE369_Divide_by_Zero__float_fgets_18.c,good,96,3,true,1,false,PASSED,0,1270,38,0
CWE369,CWE369_Divide_by_Zero__float_fgets_05.c,bad,161,4,true,1,false,FAILED,0,862,52,0
CWE369,CWE369_Divide_by_Zero__float_fgets_05.c,good,161,4,true,1,false,PASSED,0,1334,41,0
CWE369,CWE369_Divide_by_Zero__float_fgets_17.c,bad,105,3,true,1,false,FAILED,0,855,48,0
CWE369,CWE369_Divide_by_Zero__float_fgets_17.c,good,105,3,true,1,false,PASSED,0,1418,50,0
CWE369,CWE369_Divide_by_Zero__float_fgets_14.c,bad,159,4,true,1,false,FAILED,0,725,42,0
CWE369,CWE369_Divide_by_Zero__float_fgets_14.c,good,159,4,true,1,false,PASSED,0,697,47,0
CWE369,CWE369_Divide_by_Zero__float_fgets_06.c,bad,160,4,true,1,false,FAILED,0,819,48,0
CWE369,CWE369_Divide_by_Zero__float_fgets_06.c,good,160,4,true,1,false,PASSED,0,1465,41,0
CWE369,CWE369_Divide_by_Zero__float_fgets_08.c,bad,167,4,true,1,false,FAILED,0,804,51,0
CWE369,CWE369_Divide_by_Zero__float_fgets_08.c,good,167,4,true,1,false,PASSED,0,1354,46,0
CWE369,CWE369_Divide_by_Zero__float_fgets_21.c,bad,150,4,true,1,false,FAILED,0,868,49,0
CWE369,CWE369_Divide_by_Zero__float_fgets_21.c,good,150,4,true,1,false,PASSED,0,1357,37,0
CWE369,CWE369_Divide_by_Zero__float_fgets_11.c,bad,159,4,true,1,false,FAILED,0,859,46,0
CWE369,CWE369_Divide_by_Zero__float_fgets_11.c,good,159,4,true,1,false,PASSED,0,1464,48,0
CWE369,CWE369_Divide_by_Zero__float_fgets_13.c,bad,159,4,true,1,false,FAILED,0,864,43,0
CWE369,CWE369_Divide_by_Zero__float_fgets_13.c,good,159,4,true,1,false,PASSED,0,1487,49,0
CWE369,CWE369_Divide_by_Zero__float_fgets_07.c,bad,160,4,true,1,false,FAILED,0,827,51,0
CWE369,CWE369_Divide_by_Zero__float_fgets_07.c,good,160,4,true,1,false,PASSED,0,1578,50,0
CWE369,CWE369_Divide_by_Zero__float_fgets_03.c,bad,159,4,true,1,false,FAILED,0,836,48,0
CWE369,CWE369_Divide_by_Zero__float_fgets_03.c,good,159,4,true,1,false,PASSED,0,1427,45,0
CWE369,CWE369_Divide_by_Zero__float_fgets_09.c,bad,159,4,true,1,false,FAILED,0,850,45,0
CWE369,CWE369_Divide_by_Zero__float_fgets_09.c,good,159,4,true,1,false,PASSED,0,1324,39,0
CWE369,CWE369_Divide_by_Zero__float_fgets_16.c,bad,108,3,true,1,false,FAILED,0,873,45,0
CWE369,CWE369_Divide_by_Zero__float_fgets_16.c,good,108,3,true,1,false,PASSED,0,1526,49,0
CWE369,CWE369_Divide_by_Zero__float_fgets_02.c,bad,159,4,true,1,false,FAILED,0,873,48,0
CWE369,CWE369_Divide_by_Zero__float_fgets_02.c,good,159,4,true,1,false,PASSED,0,1477,38,0
CWE369,CWE369_Divide_by_Zero__float_fgets_15.c,bad,201,4,true,1,false,FAILED,0,835,49,0
CWE369,CWE369_Divide_by_Zero__float_fgets_15.c,good,201,4,true,1,false,PASSED,0,741,48,0
CWE369,CWE369_Divide_by_Zero__float_fgets_12.c,bad,155,4,true,1,false,PASSED,0,750,42,0
CWE369,CWE369_Divide_by_Zero__float_fgets_12.c,good,155,4,true,1,false,PASSED,0,1409,41,0
CWE369,CWE369_Divide_by_Zero__float_fgets_04.c,bad,161,4,true,1,false,FAILED,0,848,49,0
CWE369,CWE369_Divide_by_Zero__float_fgets_04.c,good,161,4,true,1,false,PASSED,0,1451,46,0
CWE369,CWE369_Divide_by_Zero__float_fgets_10.c,bad,159,4,true,1,false,FAILED,0,838,49,0
CWE369,CWE369_Divide_by_Zero__float_fgets_10.c,good,159,4,true,1,false,PASSED,0,754,45,0
CWE369,CWE369_Divide_by_Zero__float_fgets_22b.c,bad,64,0,false,0,false,FAILED,0,809,44,0
CWE369,CWE369_Divide_by_Zero__float_fgets_22b.c,good,64,0,false,0,false,PASSED,0,828,0,0
CWE369,CWE369_Divide_by_Zero__float_fgets_32.c,bad,111,3,true,1,false,FAILED,0,817,44,0
CWE369,CWE369_Divide_by_Zero__float_fgets_32.c,good,111,3,true,1,false,PASSED,0,794,47,0
CWE369,CWE369_Divide_by_Zero__float_fgets_31.c,bad,96,3,true,1,false,FAILED,0,911,51,0
CWE369,CWE369_Divide_by_Zero__float_fgets_31.c,good,96,3,true,1,false,PASSED,0,728,54,0
