filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
cwe,filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE369,CWE369_Divide_by_Zero__float_fgets_44.c,1.1977,0.0012,0.0012,20.0111,20.0114,594,504,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_42.c,1.1986,0.0012,0.0012,20.0111,20.0112,598,495,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_31.c,1.3166,0.0012,0.0013,20.0132,20.0142,501,476,30,1
CWE369,CWE369_Divide_by_Zero__float_fgets_04.c,1.2389,0.0012,0.0012,20.0110,20.0114,572,499,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_22b.c,1.2305,0.0014,0.0014,20.0141,20.0153,1546,1191,33,2
CWE369,CWE369_Divide_by_Zero__float_fgets_52c.c,1.1887,0.0012,0.0012,20.0137,20.0133,558,397,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_51b.c,1.2522,0.0012,0.0012,20.0136,20.0135,523,456,31,2
CWE369,CWE369_Divide_by_Zero__float_fgets_52a.c,1.2445,0.0012,0.0020,20.0137,20.0139,567,494,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_51a.c,1.6754,0.0012,0.0012,20.0136,20.0132,558,512,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_54e.c,1.1811,0.0012,0.0013,20.0127,20.0137,538,507,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_53d.c,1.2317,0.0012,0.0012,20.0129,20.0133,533,470,30,2
CWE369,CWE369_Divide_by_Zero__float_fgets_53a.c,1.2428,0.0013,0.0013,20.0135,20.0129,559,487,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_54a.c,1.2554,0.0012,0.0013,20.0140,20.0133,584,464,30,2
CWE369,CWE369_Divide_by_Zero__float_fgets_61b.c,1.2864,0.0015,0.0016,20.0134,20.0138,1424,1242,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_63b.c,1.2217,0.0015,0.0015,20.0135,20.0146,1347,1206,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_64b.c,1.2017,0.0014,0.0017,20.0164,20.0143,1365,1442,30,2
CWE369,CWE369_Divide_by_Zero__float_fgets_64a.c,1.5210,0.0017,0.0022,20.0155,20.0153,1796,1374,30,2
CWE369,CWE369_Divide_by_Zero__float_fgets_65b.c,1.2351,0.0013,0.0015,20.0129,20.0133,1348,1262,31,2
CWE369,CWE369_Divide_by_Zero__float_fgets_65a.c,1.5842,0.0014,0.0016,20.0131,20.0135,1296,1351,30,2
CWE369,CWE369_Divide_by_Zero__float_fgets_66b.c,1.2360,0.0013,0.0015,20.0142,20.0149,1462,1340,32,2
CWE369,CWE369_Divide_by_Zero__float_fgets_66a.c,1.2560,0.0016,0.0014,20.0137,20.0141,1619,1105,29,1
CWE369,CWE369_Divide_by_Zero__float_fgets_67a.c,1.2948,0.0017,0.0013,20.0144,20.0140,1323,1096,29,2
CWE369,CWE369_Divide_by_Zero__float_fgets_67b.c,1.2553,0.0014,0.0016,20.0138,20.0151,1698,1320,30,2
CWE369,CWE369_Divide_by_Zero__float_fgets_68a.c,1.2983,0.0014,0.0017,20.0147,20.0148,1583,1309,41,2
CWE369,CWE369_Divide_by_Zero__float_fgets_68b.c,1.2675,0.0017,0.0025,20.0152,20.0157,1390,1371,30,2
CWE369,CWE369_Divide_by_Zero__int_fgets_divide_03.c,1.2495,0.0013,0.0014,20.0147,20.0146,1320,1173,28,1
CWE369,CWE369_Divide_by_Zero__int_fgets_divide_01.c,1.1812,0.0015,0.0014,20.0180,20.0153,1453,1206,28,1
CWE369,CWE369_Divide_by_Zero__int_fgets_divide_05.c,1.2090,0.0013,0.0017,20.0139,20.0139,1337,1231,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_divide_02.c,1.1952,0.0017,0.0018,20.0143,20.0144,1424,1200,30,1
